Step,Training loss,Reward,Reward std,Completion length,Kullback-Leibler divergence 
283,0.0012,0.426833,0.264091,245.666672,0.029532
284,0.0015,0.414833,0.358899,313.333344,0.036578
285,0.0028,1.857667,1.278121,111.333336,0.070451
286,0.0019,0.297333,0.26891,210.5,0.046508
287,0.001,0.498,0.151126,194,0.026229
288,0.0008,1.5065,1.121273,378.666687,0.019347
289,0.0012,0.125333,0.158427,198.5,0.030214
290,0.0017,1.6755,1.149043,202.666672,0.043267
291,0.002,0.3515,0.144165,259.666687,0.049788
292,0.0023,1.5575,1.024107,174.833344,0.05749
293,0.001,-0.303833,1.269616,406.833344,0.024155
294,0.0013,1.409167,1.319275,256.666687,0.033523
295,0.0011,0.7745,0.888306,225.833344,0.026621
296,0.0054,0.866167,1.307201,181.333344,0.133895
297,0.0032,-0.015167,1.223855,262.5,0.079251
298,0.0008,0.166,0.169222,464,0.019109
299,0.0019,0.630833,0.157322,137,0.046367
300,0.0017,0.842667,0.895239,228.166672,0.042336
301,0.0021,1.589333,1.007383,123.166672,0.053158
302,0.0016,0.581667,1.015771,232.333344,0.03912
303,0.0016,1.477833,1.222645,218.166672,0.039313
304,0.0014,0.720167,0.920545,314.833344,0.03425
305,0.0031,1.32,1.198349,272.5,0.078329
306,0.0018,1.0265,1.079063,267.666687,0.045858
307,0.002,0.672667,0.784346,326.666687,0.050675
308,0.002,1.382833,1.185117,223.166672,0.049165
309,0.0016,1.467167,1.114238,224.666672,0.040559
310,0.0018,1.419167,1.380626,163.5,0.045113
311,0.0021,0.949333,1.133088,217.666672,0.052574
312,0.0014,0.318167,0.365425,242.166672,0.03503
313,0.0045,1.430833,1.182893,164,0.112185
314,0.0028,1.653167,1.148922,118.166672,0.07035
315,0.0014,0.668,0.815494,330.5,0.035006
316,0.0022,2.572834,0.100047,157,0.056032
317,0.0012,0.262,0.265738,338.833344,0.030817
318,0.0015,0.9405,1.191632,350.333344,0.036817
319,0.0031,1.933333,1.158788,101.166672,0.077566
320,0.0022,0.079833,0.106826,281.166687,0.054417
321,0.0019,2.530167,0.180819,170.666672,0.048494
322,0.002,0.4055,0.250377,234.333344,0.049915
323,0.0019,1.611,1.065151,137.666672,0.046334
324,0.002,0.558167,1.061293,246.166672,0.050061
325,0.0026,2.224167,0.928228,166,0.064237
326,0.0016,0.2275,0.345825,214,0.039752
327,0.0018,0.4485,0.370295,192,0.045633
328,0.0018,0.957,0.900316,146.5,0.046121
329,0.0019,2.655833,0.113951,148.5,0.048688
330,0.0026,0.363167,0.319818,232.833344,0.064181
331,0.0021,2.020667,1.08641,133.166672,0.051283
332,0.0018,1.182333,1.191927,244.833344,0.045845
333,0.0014,2.217333,1.037973,215.5,0.034204
334,0.0029,2.56,0.04269,149.166672,0.072068
335,0.0022,2.724667,0.088242,92.666672,0.054891
336,0.003,2.724,0.048179,127.166672,0.073787
337,0.0015,0.0715,0.1928,451.333344,0.036929
338,0.0025,1.112167,1.124822,180.5,0.062707
339,0.0017,-0.129833,0.50862,325,0.043203
340,0.0024,2.370167,0.744726,115,0.059739
341,0.0014,-0.424833,0.661615,495.666687,0.035334
342,0.0019,1.432,1.297616,266.166687,0.048153
343,0.0016,0.684667,1.005793,295,0.038901
344,0.0011,1.752833,1.314357,294.833344,0.028333
345,0.0022,2.721667,0.081853,94.5,0.054765
346,0.0022,0.7215,0.965882,238.666672,0.055882
347,0.002,1.552,1.173587,232.166672,0.049214
348,0.0012,0.0405,0.206982,481.5,0.029824
349,0.003,2.300333,1.137274,105.666672,0.074579
350,0.0013,0.26,0.215783,402.666687,0.031913
351,0.0023,2.0735,1.328396,149.5,0.057752
352,0.0016,1.432833,1.114968,232.166672,0.040191
353,0.0032,1.23,1.080379,170.333344,0.079268
354,0.0016,0.605833,0.936911,393.5,0.039526
355,0.0063,2.017334,1.131424,79.5,0.156504
356,0.0023,1.840833,1.331555,261.333344,0.057614
357,0.0014,0.159667,0.084916,470.666687,0.03406
358,0.0044,2.425167,0.793579,94.333336,0.109893
359,0.0039,2.404333,0.864004,94.833336,0.097416
360,0.0035,1.122667,1.148936,184.666672,0.088691
361,0.0044,1.513667,1.30817,154.333344,0.109648
362,0.0023,2.757167,0.072397,115.333336,0.058202
363,0.0029,1.122333,1.188584,287.166687,0.071425
364,0.002,1.480167,1.307414,248.166672,0.050842
365,0.0032,2.4225,0.850163,93.166672,0.080009
366,0.0018,0.268167,0.188093,365.666687,0.045236
367,0.0018,1.2365,1.112139,171.833344,0.044269
368,0.0024,1.949167,1.588217,218.5,0.059922
369,0.0022,0.6595,0.054021,139,0.055913
370,0.0048,1.234333,1.224573,117,0.120927
371,0.0026,2.402,0.836601,113.833336,0.065499
372,0.0027,1.928667,1.235273,111,0.06854
373,0.002,-0.532833,1.467848,461.5,0.048854
374,0.006,2.382,0.793466,110.333336,0.149554
375,0.0016,1.585,1.141601,204.5,0.040423
376,0.0032,1.554667,1.246481,192.833344,0.079846
377,0.0014,1.0985,1.153599,292.833344,0.034989
378,0.002,1.479667,1.23612,210.833344,0.049396
379,0.0016,0.1705,0.18343,419.833344,0.039685
380,0.0005,1.060667,0.986913,274.166687,0.011481
381,0.0018,0.280667,0.426375,234.833344,0.044487
382,0.0033,2.704,0.053766,127.333336,0.082698
383,0.0022,1.933,0.993009,170,0.054045
384,0.0021,1.935833,1.134875,147.666672,0.052364
385,0.0018,0.461833,1.962474,360.666687,0.045537
386,0.0014,0.693167,0.913502,349.333344,0.035904
387,0.0021,0.739,0.768973,258.333344,0.051341
388,0.0017,1.409,1.346676,310.333344,0.043073
389,0.001,0.101,0.058788,425.833344,0.024725
390,0.0024,1.382167,1.248595,234.5,0.059849
391,0.0017,2.561167,0.060704,154,0.042812
392,0.0065,1.794333,1.123131,257.666687,0.161419
393,0.0023,2.230667,1.037728,199.833344,0.057708
394,0.0024,2.194833,1.022996,227.333344,0.060985
395,0.0027,2.152833,1.063309,161.833344,0.066264
396,0.0018,0.1825,0.140846,463,0.045446
397,0.0028,0.270167,0.207051,198,0.07016
398,0.0019,2.639,0.080372,159.666672,0.046677
399,0.0023,0.467333,0.271575,258.5,0.056497
400,0.0017,0.072333,0.339776,393.333344,0.041629
